doi,title,year,published_online,volume,issue,page,type,n_authors,first_author,last_author,url,abstract_available,access_status
10.1002/alz.14241,Predicting Alzheimer's disease subtypes and understanding their molecular characteristics in living patients with transcriptomic trajectory profiling,2025,2025-01-15,21,1,,journal-article,9,Xiaoqing Huang,Jie Zhang,https://doi.org/10.1002/alz.14241,yes,open/full
10.1002/alz.14467,The higher benefit of lecanemab in males compared to females in CLARITY AD is probably due to a real sex effect,2025,2025-01-29,21,1,,journal-article,6,Daniel Andrews,,https://doi.org/10.1002/alz.14467,yes,open/full
10.1002/alz.14297,The Taiwan‐ADNI workflow toward integrating plasma p‐tau217 into prediction models for the risk of Alzheimer's disease and tau burden,2025,2025-01-08,21,1,,journal-article,10,Kuo‐Lun Huang,Chiung‐Chih Chang,https://doi.org/10.1002/alz.14297,yes,open/full
10.1002/alz.14324,"Canadian Stroke Best Practice Recommendations: Vascular cognitive impairment, 7th edition practice guidelines update, 2024",2025,2025-01-16,21,1,,journal-article,30,Richard H. Swartz,,https://doi.org/10.1002/alz.14324,yes,open/full
10.1002/alz.14565,Cross‐cultural validation of plasma p‐tau217 and p‐tau181 as precision biomarkers for amyloid PET positivity: An East Asian study in Taiwan and Korea,2025,2025-01-29,21,1,,journal-article,8,Yung‐Shuan Lin,Jong‐Ling Fuh,https://doi.org/10.1002/alz.14565,yes,open/full
10.1002/alz.14202,Clinical criteria for limbic‐predominant age‐related TDP‐43 encephalopathy,2025,2025-01-14,21,1,,journal-article,37,David A. Wolk,Julie A. Schneider,https://doi.org/10.1002/alz.14202,yes,open/full
10.1002/alz.14560,APP antisense oligonucleotides are effective in rescuing mitochondrial phenotypes in human iPSC‐derived trisomy 21 astrocytes,2025,2025-01-29,21,1,,journal-article,4,Srishruthi Thirumalai,Christy Hung,https://doi.org/10.1002/alz.14560,yes,open/full
10.1002/alz.14474,Whole genome methylation sequencing in blood from persons with mild cognitive impairment and dementia due to Alzheimer's disease identifies cognitive status,2025,2025-01-01,21,2,,journal-article,10,Andy Madrid,Reid S. Alisch,https://doi.org/10.1002/alz.14474,yes,open/full
10.1002/alz.14569,"AAIC
                    <sup>®</sup>
                    Satellite Symposium slated for May 14 to 15 in Lima, Peru",2025,2025-01-28,21,1,,journal-article,0,,,https://doi.org/10.1002/alz.14569,no,open/full
10.1002/alz.14322,Alzheimer's disease plasma biomarkers and physical functioning in a diverse sample of adults,2025,2025-01-02,21,1,,journal-article,7,Gregory Knell,Sid E. O'Bryant,https://doi.org/10.1002/alz.14322,yes,open/full
