month,row,doi,first_author,first_author_gender,last_author,last_author_gender,status
January,2,10.1002/alz.70026,Charly Abi‐Ghanem,Male,Kristen L. Zuloaga,Female,ok
January,3,10.1002/alz.14597,Sarah F. Ackley,Female,for the Alzheimer's Disease Neuroimaging Initiative,Unknown,ok
January,4,10.1002/alz.14603,Maricedes Acosta‐Martínez,Unknown,Anat Biegon,Female,ok
January,5,10.1002/alz.70032,Meysam Ahangaran,Unknown,Vijaya B. Kolachalama,Female,ok
January,6,10.1002/alz.70007,Muge Akinci,Unknown,for the ALFA study,Unknown,ok
January,7,10.1002/alz.14609,Federica Anastasi,Female,Marc Suárez‐Calvet,Male,ok
January,8,10.1002/alz.14588,Gaia Bagnasco,Female,Bram Wouterse,Male,ok
January,9,10.1002/alz.14616,Ping Bai,Androgynous,Changning Wang,Androgynous,ok
January,10,10.1002/alz.14586,Laura D. Baker,Female,for the EXERT Study Group,Unknown,ok
January,11,10.1002/alz.14622,Line Iden Berge,Female,Bettina Sandgate Husebo,Female,ok
January,12,10.1002/alz.70053,Frauke Beyer,Female,Stéphanie Debette,Female,ok
January,13,10.1002/alz.14599,Nárlon C. Boa Sorte Silva,Unknown,Teresa Liu‐Ambrose,Female,ok
January,14,10.1002/alz.70013,Julia G. Burgdorf,Female,Jennifer L. Wolff,Female,ok
January,15,10.1002/alz.14625,Felix Carbonell,Male,for the Alzheimer's Disease Neuroimaging Initiative,Unknown,ok
January,16,10.1002/alz.70022,Xu‐Qiao Chen,Unknown,William C. Mobley,Male,ok
January,17,10.1002/alz.14627,Minhyuk Choi,Unknown,Paola Gilsanz,Female,ok
January,18,10.1002/alz.14583,Chenyin Chu,Unknown,Yijun Pan,Androgynous,ok
January,19,10.1002/alz.70057,Chenyin Chu,Unknown,Yijun Pan,Androgynous,ok
January,20,10.1002/alz.14626,Kyra M. Clarke,Female,Margaret E. Flanagan,Female,ok
January,21,10.1002/alz.14615,Jacqueline J. Claus,Female,Frank J. Wolters,Male,ok
January,22,10.1002/alz.14629,Petrice M. Cogswell,Unknown,Clifford R. Jack,Male,ok
January,23,10.1002/alz.70014,Tim D'Aoust,Male,Stéphanie Debette,Female,ok
January,24,10.1002/alz.14607,Line Damsgaard,Female,Janet Janbek,Female,ok
January,25,10.1002/alz.14610,Anna Dittrich,Female,Silke Kern,Female,ok
January,26,10.1002/alz.70060,Sarah E. Elzinga,Female,Eva L. Feldman,Female,ok
January,27,10.1002/alz.14595,Yayan Feng,Unknown,Feixiong Cheng,Unknown,ok
January,28,10.1002/alz.14575,Erin L. Ferguson,Female,M. Maria Glymour,Unknown,ok
January,29,10.1002/alz.70030,Luana Fioriti,Female,Paul E. Fraser,Male,ok
January,30,10.1002/alz.70001,Luciana Mascarenhas Fonseca,Female,Naomi S. Chaytor,Female,ok
January,31,10.1002/alz.70018,Alma Ghirelli,Female,Jennifer L. Whitwell,Female,ok
January,32,10.1002/alz.14623,Joshua D. Grill,Male,for the A4 Study Team,Unknown,ok
January,33,10.1002/alz.14580,Muqi Guo,Unknown,Lindsay C. Kobayashi,Female,ok
January,34,10.1002/alz.70023,Eugenio Gutiérrez‐Jiménez,Male,Leif Østergaard,Male,ok
January,35,10.1002/alz.70011,Shimaa A. Heikal,Unknown,Mohamed Salama,Male,ok
January,36,10.1002/alz.14594,Qili Hu,Androgynous,Jun Zhang,Male,ok
January,37,10.1002/alz.14618,Chuyao Huang,Unknown,Wei Zhao,Androgynous,ok
January,38,10.1002/alz.14590,Eli Iacob,Female,Caroline E. Stephens,Female,ok
January,39,10.1002/alz.70064,Joseph Januszewicz,Male,Karen E. Schifferdecker,Female,ok
January,40,10.1002/alz.14614,Natalie E. Johnson,Female,Niklaus D. Labhardt,Male,ok
January,41,10.1002/alz.14600,Linda Karlsson,Female,Oskar Hansson,Male,ok
January,42,10.1002/alz.14589,Matthias Klee,Male,Ana Quiñones,Female,ok
January,43,10.1002/alz.14606,Kang Ko,Androgynous,for the KBASE Research Group,Unknown,ok
January,44,10.1002/alz.70009,Haeok Lee,Female,Jonathan Ngoma,Male,ok
January,45,10.1002/alz.70003,Douglas T. Leffa,Male,the Alzheimer's Disease Neuroimaging Initiative,Female,ok
January,46,10.1002/alz.70021,Chun Li,Androgynous,Junliang Yuan,Androgynous,ok
January,47,10.1002/alz.70024,Xin Li,Androgynous,Zheng Sun,Androgynous,ok
January,48,10.1002/alz.14596,Minglei Liu,Androgynous,Jing Yang,Androgynous,ok
January,49,10.1002/alz.70036,Shu Liu,Androgynous,"for the Alzheimer's Disease Neuroimaging Initiative, and the Australian Imaging Biomarkers and Lifestyle Flagship Study of Ageing",Unknown,ok
January,50,10.1002/alz.14608,Xulin Liu,Unknown,the ALLFTD Consortium and the GENFI Consortium,Female,ok
January,51,10.1002/alz.70028,Raele Donetha Loy,Unknown,Amy Kind,Female,ok
January,52,10.1002/alz.14602,Liwei Ma,Androgynous,Yijun Pan,Androgynous,ok
January,53,10.1002/alz.70017,Clayton Mansel,Male,Olivia J. Veatch,Female,ok
January,54,10.1002/alz.14591,Manuel Menendez‐Gonzalez,Male,Manuel Menendez‐Gonzalez,Male,ok
January,55,10.1002/alz.70047,Cassidy P. Molinare,Female,Roos J. Jutten,Female,ok
January,56,10.1002/alz.70006,Cyprian M. Mostert,Male,Zul Merali,Unknown,ok
January,57,10.1002/alz.70031,Sofia Moura,Female,Jeffery M. Vance,Male,ok
January,58,10.1002/alz.70010,Ryan T. Muir,Male,Eric E. Smith,Male,ok
January,59,10.1002/alz.70015,Chandra Muller,Male,John Robert Warren,Male,ok
January,60,10.1002/alz.70029,Audrey R. Murchland,Female,Karestan C. Koenen,Unknown,ok
January,61,10.1002/alz.14585,Ashima Nayyar,Female,William T. Hu,Male,ok
January,62,10.1002/alz.14628,Daisuke Ono,Male,Dennis W. Dickson,Male,ok
January,63,10.1002/alz.14556,Alessandro Padovani,Male,Andrea Pilotto,Female,ok
January,64,10.1002/alz.70005,Feng‐Feng Pan,Unknown,Qi‐Hao Guo,Unknown,ok
January,65,10.1002/alz.14551,Keshet Pardo,Unknown,Amir Glik,Male,ok
January,66,10.1002/alz.14619,Kelsey R. Sewell,Female,Kirk I. Erickson,Male,ok
January,67,10.1002/alz.70039,Jacob S. Shaw,Male,Matthew E. Peters,Male,ok
January,68,10.1002/alz.14593,Qin Shi,Androgynous,Jiayi Zhang,Androgynous,ok
January,69,10.1002/alz.14613,Srishti Shrestha,Unknown,Honglei Chen,Androgynous,ok
January,70,10.1002/alz.70012,E. Keats Shwab,Unknown,Ornit Chiba‐Falek,Unknown,ok
January,71,10.1002/alz.14601,Ming Ann Sim,Androgynous,Christopher L. H. Chen,Male,ok
January,72,10.1002/alz.14577,Ming Ann Sim,Androgynous,Christopher L. H. Chen,Male,ok
January,73,10.1002/alz.70119,Elisa Nicoloso Simões‐Pires,Female,Erin H. Norris,Female,ok
January,74,10.1002/alz.14579,Dylan J. Terstege,Male,Derya Sargin,Female,ok
January,75,10.1002/alz.70033,Garth J. Thompson,Male,Garth J. Thompson,Male,ok
January,76,10.1002/alz.14612,Qu Tian,Androgynous,Luigi Ferrucci,Male,ok
January,77,10.1002/alz.70016,Adrià Tort‐Merino,Unknown,Raquel Sánchez‐Valle,Female,ok
January,78,10.1002/alz.70038,Jun Wang,Male,for the Translational Biomarker Research of AgIng and Neurodegeneration (TBRAIN),Unknown,ok
January,79,10.1002/alz.70004,Yan Wang,Male,Fang Xie,Androgynous,ok
January,80,10.1002/alz.14587,Guoqiao Wang,Androgynous,Randall J. Bateman,Male,ok
January,81,10.1002/alz.70002,Yu‐Jung Jenny Wei,Unknown,Steven T. DeKosky,Male,ok
January,82,10.1002/alz.14592,Julian Daniel Sunday Willett,Male,Dmitry Prokopenko,Male,ok
January,83,10.1002/alz.14582,Laura E. M. Wisse,Female,Renaud La Joie,Male,ok
January,84,10.1002/alz.14584,Kyung Ah Woo,Female,Jee‐Young Lee,Unknown,ok
January,85,10.1002/alz.14624,Jingtao Wu,Androgynous,Yuxia Ma,Androgynous,ok
January,86,10.1002/alz.14611,Rong Xu,Androgynous,Rong Xu,Androgynous,ok
January,87,10.1002/alz.14605,Kaifang Yao,Unknown,Yi Guo,Androgynous,ok
January,88,10.1002/alz.70075,Kyan Younes,Unknown,Elizabeth C. Mormino,Female,ok
January,89,10.1002/alz.14578,Sedigheh Zabihi,Female,Charles R Marshall,Male,ok
February,2,10.1002/alz.70056,,Unknown,,Unknown,no_author_metadata
February,3,10.1002/alz.70041,Eloise Berson,Female,Carol A. Shively,Female,ok
February,4,10.1002/alz.70103,Yuan Cao,Androgynous,Yi‐Cheng Zhu,Unknown,ok
February,5,10.1002/alz.70122,Jasper Carlsen,Male,Johan Palmfeldt,Male,ok
February,6,10.1002/alz.70124,Ajay Castelino,Male,Felicity Anne Baker,Female,ok
February,7,10.1002/alz.70096,Chun‐Lin Chen,Unknown,Le Shi,Female,ok
February,8,10.1002/alz.70089,Guanqun Chen,Androgynous,Qi Yang,Androgynous,ok
February,9,10.1002/alz.70046,Xu‐Qiao Chen,Unknown,William C. Mobley,Male,ok
February,10,10.1002/alz.70051,Almudena Chicote‐González,Female,Cristina Malagelada,Female,ok
February,11,10.1002/alz.70045,Viswanath Devanarayan,Unknown,Shobha Dhadda,Female,ok
February,12,10.1002/alz.70055,Huitong Ding,Unknown,Honghuang Lin,Unknown,ok
February,13,10.1002/alz.70116,Robert Durcan,Male,Maura Malpetti,Female,ok
February,14,10.1002/alz.70087,Alexander J. Ehrenberg,Male,Lea T. Grinberg,Female,ok
February,15,10.1002/alz.70081,Francesca Eroli,Female,Silvia Maioli,Female,ok
February,16,10.1002/alz.70086,Emre Fertan,Male,David Klenerman,Male,ok
February,17,10.1002/alz.70104,Scott R. French,Male,Craig C. Weinkauf,Male,ok
February,18,10.1002/alz.70091,Yang Gao,Androgynous,Lars O. Tjernberg,Male,ok
February,19,10.1002/alz.70070,Jesús Garcia Castro,Male,for the ALLFTD Consortium,Unknown,ok
February,20,10.1002/alz.70097,Brandon E. Gavett,Male,Oanh L. Meyer,Female,ok
February,21,10.1002/alz.70115,Sapir Golan Shekhtman,Unknown,Orit H. Lesman‐Segev,Female,ok
February,22,10.1002/alz.70077,Roberto Guzmán‐Hernández,Male,Silvia Fossati,Female,ok
February,23,10.1002/alz.70065,Htet Lin Htun,Unknown,Rosanne Freak‐Poli,Female,ok
February,24,10.1002/alz.70071,Phoebe Ivain,Female,André Strydom,Male,ok
February,25,10.1002/alz.70152,Daniela Jaime Garcia,Female,The MSS3 Study Group,Female,ok
February,26,10.1002/alz.70067,Seyeon Jang,Unknown,Jie Chen,Androgynous,ok
February,27,10.1002/alz.70109,Seokho Jeong,Unknown,Dokyoon Kim,Unknown,ok
February,28,10.1002/alz.70105,Farooq Kamal,Male,Mahsa Dadar,Female,ok
February,29,10.1002/alz.70072,Selin Karakose,Female,Antonio Terracciano,Male,ok
February,30,10.1002/alz.70093,Valentina Lacovich,Female,Gorazd Bernard Stokin,Male,ok
February,31,10.1002/alz.70073,Huan Lan,Androgynous,Qiyong Gong,Androgynous,ok
February,32,10.1002/alz.70043,Jillian K. Lee,Female,Michelle M. Mielke,Female,ok
February,33,10.1002/alz.70098,Li Liang,Androgynous,Ting Ma,Androgynous,ok
February,34,10.1002/alz.70099,Wang Liao,Androgynous,Kai‐Christian Sonntag,Unknown,ok
February,35,10.1002/alz.70120,Emma E. Lietzke,Female,Kayla G. Sprenger,Female,ok
February,36,10.1002/alz.70130,Anna Lorenz,Female,Derek B. Archer,Male,ok
February,37,10.1002/alz.70101,Nicole M. Maphis,Female,Kiran Bhaskar,Female,ok
February,38,10.1002/alz.70102,Donovan T. Maust,Male,Joanne Spetz,Female,ok
February,39,10.1002/alz.70063,Miharu Nakanishi,Female,Atsushi Nishida,Male,ok
February,40,10.1002/alz.70066,Habbiburr Rehman,Unknown,for the Alzheimer's Disease Neuroimaging Initiative,Unknown,ok
