pdf,month,datasets_found,matched_row
Alzheimer s   Dementia - 2025 - Abi‐Ghanem - Interactions between menopause and high‐fat diet on cognition and pathology in.pdf,January,none,2
Alzheimer s   Dementia - 2025 - Ackley - Methods to crosswalk between cognitive test scores using data from the Alzheimer s.pdf,January,ADNI,3
Alzheimer s   Dementia - 2025 - Acosta‐Martínez - Sex‐ and region‐dependent neuroinflammation in Alzheimer s disease.pdf,January,none,4
Alzheimer s   Dementia - 2025 - Ahangaran - Obfuscation via pitch‐shifting for balancing privacy and diagnostic utility in.pdf,January,none,5
Alzheimer s   Dementia - 2025 - Akinci - Physical activity changes during midlife link to brain integrity and amyloid.pdf,January,PREVENT-AD; ALFA,6
Alzheimer s   Dementia - 2025 - Anastasi - A head‐to‐head comparison of plasma biomarkers to detect Alzheimer s disease in.pdf,January,ADNI; MAPT,7
Alzheimer s   Dementia - 2025 - Bagnasco - Earnings losses in young‐onset dementia  Population‐based study with admin data.pdf,January,none,8
Alzheimer s   Dementia - 2025 - Bai - HDAC11 displays neuropathological alterations and offers as a novel drug target for.pdf,January,none,9
Alzheimer s   Dementia - 2025 - Baker - Effects of exercise on cognition and Alzheimer s biomarkers in a randomized.pdf,January,none,10
Alzheimer s   Dementia - 2025 - Berge - Burden and care time for dementia caregivers in the LIVE Home Path trial.pdf,January,none,11
Alzheimer s   Dementia - 2025 - Beyer - White matter hyperintensity spatial patterns  Risk factors and clinical correlates.pdf,January,none,12
Alzheimer s   Dementia - 2025 - Boa Sorte Silva - Physical activity may protect myelin via modulation of high‐density.pdf,January,none,13
Alzheimer s   Dementia - 2025 - Burgdorf - A look at caregivers for community‐living persons with dementia  Implications.pdf,January,none,14
Alzheimer s   Dementia - 2025 - Carbonell - Tau‐related reduction of glucose metabolism in mild cognitive impairment occurs.pdf,January,ADNI,15
Alzheimer s   Dementia - 2025 - Chen - Antisense oligonucleotides directed against App and Rab5 normalized endosomal Rab.pdf,January,none,16
Alzheimer s   Dementia - 2025 - Choi - Sociodemographic modifiers of effects of statin initiation on dementia incidence  An.pdf,January,none,17
Alzheimer s   Dementia - 2025 - Chu - Developing and validating a prediction tool for cerebral amyloid angiopathy.pdf,January,ROSMAP; AIBL,18
Alzheimer s   Dementia - 2025 - Chu - Predicting severity of cerebral amyloid angiopathy neuropathology  A modeling.pdf,January,ROSMAP; NACC,19
Alzheimer s   Dementia - 2025 - Clarke - The Nun Study  Insights from 30 years of aging and dementia research.pdf,January,none,20
Alzheimer s   Dementia - 2025 - Claus - Public attitudes toward dementia risk prediction  A mixed‐methods study.pdf,January,none,21
Alzheimer s   Dementia - 2025 - Cogswell - Plasma Alzheimer s disease biomarker relationships with incident abnormal.pdf,January,none,22
Alzheimer s   Dementia - 2025 - D'Aoust - Polygenic score integrating neurodegenerative and vascular risk informs dementia.pdf,January,none,23
Alzheimer s   Dementia - 2025 - Damsgaard - Patterns of sick leave and unemployment prior to a diagnosis of young onset.pdf,January,none,24
Alzheimer s   Dementia - 2025 - Dittrich - Evaluation of two plasma‐based proteotyping assays against APOE  4 genotyping in.pdf,January,none,25
Alzheimer s   Dementia - 2025 - Elzinga - Metabolic stress and age drive inflammation and cognitive decline in mice and.pdf,January,UK Biobank,26
Alzheimer s   Dementia - 2025 - Feng - Human herpesvirus‐associated transposable element activation in human aging brains.pdf,January,MSBB,27
Alzheimer s   Dementia - 2025 - Ferguson - Independent associations of high‐density lipoprotein cholesterol and.pdf,January,UK Biobank,28
Alzheimer s   Dementia - 2025 - Fioriti - Genetic and pharmacologic enhancement of SUMO2 conjugation prevents and reverses.pdf,January,none,29
Alzheimer s   Dementia - 2025 - Fonseca - Cognitive vulnerability to glucose fluctuations  A digital phenotype of.pdf,January,UK Biobank,30
Alzheimer s   Dementia - 2025 - Ghirelli - Relationships between hypometabolism and both  ‐amyloid and tau PET in.pdf,January,none,31
Alzheimer s   Dementia - 2025 - Grill - Disclosure of elevated amyloid status is not associated with long‐term suicidality.pdf,January,A4 Study,32
Alzheimer s   Dementia - 2025 - Guo - Age at menopause and cognitive function and decline among middle‐aged and older women.pdf,January,UK Biobank,33
Alzheimer s   Dementia - 2025 - Gutiérrez‐Jiménez - Carbonic anhydrase inhibitors prevent presymptomatic capillary flow.pdf,January,PREVENT-AD,34
Alzheimer s   Dementia - 2025 - Heikal - Complexity of developing a nationwide model for a dementia registry in Egypt  A.pdf,January,none,35
Alzheimer s   Dementia - 2025 - Hu - White matter injury  plasma Alzheimer s disease  and neurodegenerative biomarkers on.pdf,January,UK Biobank,36
Alzheimer s   Dementia - 2025 - Huang - The interaction between dysfunction of vasculature and tauopathy in Alzheimer s.pdf,January,ADNI; UK Biobank; MAPT,37
Alzheimer s   Dementia - 2025 - Iacob - Caregiving at end‐of‐life  How do family structure and dementia status impact.pdf,January,none,38
Alzheimer s   Dementia - 2025 - Januszewicz - Primary care preparedness to care for patients with ADRD  A national survey.pdf,January,none,39
Alzheimer s   Dementia - 2025 - Johnson - Prevalence and factors associated with dementia in Lesotho  A cross‐sectional .pdf,January,none,40
Alzheimer s   Dementia - 2025 - Karlsson - Machine learning prediction of tau‐PET in Alzheimer s disease using plasma  MRI .pdf,January,Knight ADRC; ADNI; A4 Study; OASIS-3,41
Alzheimer s   Dementia - 2025 - Klee - Examining multimorbidity contributors to dementia over time.pdf,January,none,42
Alzheimer s   Dementia - 2025 - Ko - Moderation of midlife cognitive activity on tau‐related cognitive impairment.pdf,January,KBASE,43
Alzheimer s   Dementia - 2025 - Lee - Dementia prevalence and risk factors in people with and without HIV in Malawi  A.pdf,January,none,44
Alzheimer s   Dementia - 2025 - Leffa - Impact of the polygenic risk scores for attention‐deficit hyperactivity disorder in.pdf,January,ADNI,45
Alzheimer s   Dementia - 2025 - Li - Association between healthy lifestyle and cognitive decline  all‐cause mortality  and.pdf,January,BLSA; UK Biobank,46
Alzheimer s   Dementia - 2025 - Li - Multi‐omics delineate growth factor network underlying exercise effects in an.pdf,January,none,47
Alzheimer s   Dementia - 2025 - Liu - Identification of small fiber neuropathy in neuronal intranuclear inclusion disease .pdf,January,none,48
Alzheimer s   Dementia - 2025 - Liu - Predicting amyloid beta accumulation in cognitively unimpaired older adults .pdf,January,ADNI; AIBL; A4 Study,49
Alzheimer s   Dementia - 2025 - Liu - Sex differences in clinical phenotypes of behavioral variant frontotemporal dementia.pdf,January,NACC; MAPT,50
Alzheimer s   Dementia - 2025 - Loy - Eating and swallowing care disparities in persons with dementia  A conceptual.pdf,January,none,51
Alzheimer s   Dementia - 2025 - Ma - Exploring epidemiological risk factors for cerebral amyloid angiopathy  Considerations.pdf,January,none,52
Alzheimer s   Dementia - 2025 - Mansel - Distinct medical and substance use histories associate with cognitive decline in.pdf,January,NACC; ADNI,53
Alzheimer s   Dementia - 2025 - Menendez‐Gonzalez - Implementing a tridimensional diagnostic framework for personalized.pdf,January,none,54
Alzheimer s   Dementia - 2025 - Molinare - Using remote  digital  multi‐day testing to characterize long‐term forgetting in.pdf,January,none,55
Alzheimer s   Dementia - 2025 - Mostert - Life span policies and macroeconomic transition will help the 21st‐century brain.pdf,January,ADNI,56
Alzheimer s   Dementia - 2025 - Moura - Comparing Alzheimer s genes in African  European  and Amerindian induced.pdf,January,UK Biobank; MAPT; ADSP,57
Alzheimer s   Dementia - 2025 - Muir - Plasma biomarkers distinguish Boston Criteria 2 0 cerebral amyloid angiopathy from.pdf,January,none,58
Alzheimer s   Dementia - 2025 - Muller - Education and midlife cognitive functioning  Evidence from the High School and.pdf,January,none,59
Alzheimer s   Dementia - 2025 - Murchland - Intimate partner violence and cognitive functioning   toward quantifying.pdf,January,AIBL,60
Alzheimer s   Dementia - 2025 - Nayyar - Influence of cognitive impairment and race on plasma p‐Tau217 in two diverse.pdf,January,WHICAP,61
Alzheimer s   Dementia - 2025 - Ono - Parkinsonism in Alzheimer s disease without Lewy bodies in association with nigral.pdf,January,MAPT,62
Alzheimer s   Dementia - 2025 - Padovani - The role of insulin resistance and APOE genotype on blood brain barrier.pdf,January,none,63
Alzheimer s   Dementia - 2025 - Pan - Associations of hippocampal volumes  brain hypometabolism  and plasma NfL with.pdf,January,ADNI,64
Alzheimer s   Dementia - 2025 - Pardo - Alzheimer s disease patients have smaller venous drainage system compared to.pdf,January,A4 Study,65
Alzheimer s   Dementia - 2025 - Sewell - Blood biomarkers differentiate AD‐related versus non‐AD‐related cognitive deficits.pdf,January,AIBL,66
Alzheimer s   Dementia - 2025 - Shaw - Motor symptoms in autopsy‐confirmed Alzheimer s disease increase the risk of.pdf,January,NACC,67
Alzheimer s   Dementia - 2025 - Shi - Retinal vascular alterations in cognitive impairment  A multicenter study in China.pdf,January,none,68
Alzheimer s   Dementia - 2025 - Shrestha - Characterizing the olfaction and dementia association in the community‐based.pdf,January,none,69
Alzheimer s   Dementia - 2025 - Shwab - Comparative mapping of single‐cell transcriptomic landscapes in neurodegenerative.pdf,January,MAPT,70
Alzheimer s   Dementia - 2025 - Sim - A deep‐learning retinal aging biomarker for cognitive decline and incident dementia.pdf,January,UK Biobank,71
Alzheimer s   Dementia - 2025 - Sim - Plasma proteomics for cognitive decline and dementia A Southeast Asian cohort study.pdf,January,BLSA; ADNI; UK Biobank,72
Alzheimer s   Dementia - 2025 - Simões‐Pires - Synergistic effects of the A  fibrinogen complex on synaptotoxicity .pdf,January,MAPT,73
Alzheimer s   Dementia - 2025 - Terstege - SSRIs reduce plasma tau and restore dorsal raphe metabolism in Alzheimer s.pdf,January,ADNI,74
Alzheimer s   Dementia - 2025 - Thompson - Insight into the etiology of Alzheimer s disease from GLP‐1R knockout mice .pdf,January,none,75
Alzheimer s   Dementia - 2025 - Tian - Longitudinal patterns of brain aging and neurodegeneration among older adults with.pdf,January,BLSA,76
Alzheimer s   Dementia - 2025 - Tort‐Merino - Decreased practice effects in cognitively unimpaired amyloid betapositive.pdf,January,none,77
Alzheimer s   Dementia - 2025 - Wang - Diagnostic accuracy of plasma p‐tau217 A 42 for Alzheimer s disease in clinical and.pdf,January,ADNI; AIBL,78
Alzheimer s   Dementia - 2025 - Wang - Tau pathology is associated with postsynaptic metabotropic glutamate receptor 5 .pdf,January,none,79
Alzheimer s   Dementia - 2025 - Wang - The CentiMarker project  Standardizing quantitative Alzheimer s disease fluid.pdf,January,ADNI,80
Alzheimer s   Dementia - 2025 - Wei - Prescription opioid use and cognitive function in older adults with chronic pain  A.pdf,January,none,81
Alzheimer s   Dementia - 2025 - Willett - Identification of 16 novel Alzheimer s disease loci using multi‐ancestry.pdf,January,ADNI; UK Biobank; ADSP,82
Alzheimer s   Dementia - 2025 - Wisse - Role of tau versus TDP‐43 pathology on medial temporal lobe atrophy in aging and.pdf,January,ROSMAP; ADNI,83
Alzheimer s   Dementia - 2025 - Woo - Cholinergic degeneration and early cognitive signs in prodromal Lewy body dementia.pdf,January,none,84
Alzheimer s   Dementia - 2025 - Wu - A systematic exposure‐wide framework leveraging machine learning to identify.pdf,January,UK Biobank,85
Alzheimer s   Dementia - 2025 - Xu - Response to the letter titled reply to  Associations of semaglutide with first‐time.pdf,January,none,86
Alzheimer s   Dementia - 2025 - Yao - Mechanisms of comorbidity between Alzheimer s disease and pain.pdf,January,UK Biobank,87
Alzheimer s   Dementia - 2025 - Younes - Amyloid PET predicts longitudinal functional and cognitive trajectories in a.pdf,January,NACC; ADNI; ADSP; A4 Study,88
Alzheimer s   Dementia - 2025 - Zabihi - Early presentations of dementia in a diverse population.pdf,January,UK Biobank,89
Alzheimer s   Dementia - 2025 -  - World Dementia Council  Research and clinical trials dialogue  Latin America and.pdf,February,none,2
Alzheimer s   Dementia - 2025 - Berson - Mediterranean vs  Western diet effects on the primate cerebral cortical.pdf,February,UK Biobank,3
Alzheimer s   Dementia - 2025 - Cao - Structural changes in cerebral microvasculature induced by ferroptosis contribute to.pdf,February,none,4
Alzheimer s   Dementia - 2025 - Carlsen - Cerebral proteome adaptations to amyloid angiopathy are prevented by carbonic.pdf,February,none,5
Alzheimer s   Dementia - 2025 - Castelino - Mixed methods feasibility study of Music Attuned Technology Care via eHealth .pdf,February,none,6
Alzheimer s   Dementia - 2025 - Chen - Associations among sleep quality  sleep duration  and Alzheimer s disease biomarkers.pdf,February,BLSA; WRAP; ADNI; AIBL; KBASE; EPAD,7
Alzheimer s   Dementia - 2025 - Chen - Decreased water exchange rate across the blood brain barrier throughout the.pdf,February,none,8
Alzheimer s   Dementia - 2025 - Chen - Hyperactivation of RAB5 disrupts the endosomal Rab cascade leading to endolysosomal.pdf,February,none,9
Alzheimer s   Dementia - 2025 - Chicote‐González - Astrocytes  via RTP801  contribute to cognitive decline by disrupting.pdf,February,none,10
Alzheimer s   Dementia - 2025 - Devanarayan - Predicted natural progression as an Alzheimer s prognostic covariate improves.pdf,February,ADNI,11
Alzheimer s   Dementia - 2025 - Ding - Dynamic lifetime risk prediction of Alzheimer s disease with longitudinal cognitive.pdf,February,ROSMAP,12
Alzheimer s   Dementia - 2025 - Durcan - Novel blood‐based proteomic signatures across multiple neurodegenerative diseases.pdf,February,MAPT,13
Alzheimer s   Dementia - 2025 - Ehrenberg - Pathways underlying selective neuronal vulnerability in Alzheimer s disease .pdf,February,none,14
Alzheimer s   Dementia - 2025 - Eroli - Commonly prescribed multi‐medication therapies exert sex‐specific effects on.pdf,February,none,15
Alzheimer s   Dementia - 2025 - Fertan - Lecanemab preferentially binds to smaller aggregates present at early Alzheimer s.pdf,February,none,16
Alzheimer s   Dementia - 2025 - French - Biomarkers of blood brain barrier and neurovascular unit integrity in human.pdf,February,none,17
Alzheimer s   Dementia - 2025 - Gao - Intraneuronal A  accumulation causes tau hyperphosphorylation via endolysosomal.pdf,February,none,18
Alzheimer s   Dementia - 2025 - Garcia Castro - Sex differences in the executive and behavioral reserve of autosomal.pdf,February,NACC; UK Biobank; MAPT,19
Alzheimer s   Dementia - 2025 - Gavett - Harmonized cognitive performance in an older adult cohort of Vietnamese American.pdf,February,NACC; LASI-DAD,20
Alzheimer s   Dementia - 2025 - Golan Shekhtman - Emotional response to amyloid beta status disclosure among research.pdf,February,none,21
Alzheimer s   Dementia - 2025 - Guzmán‐Hernández - Fibrillar tau alters cerebral endothelial cell metabolism  vascular.pdf,February,ALFA,22
Alzheimer s   Dementia - 2025 - Htun - Social determinants of health and risk of dementia among older men and women  A.pdf,February,none,23
Alzheimer s   Dementia - 2025 - Ivain - Validation of the CAMCOG‐DS‐II  a neuropsychological test battery for Alzheimer s.pdf,February,none,24
Alzheimer s   Dementia - 2025 - Jaime Garcia - Blood biomarkers of vascular dysfunction in small vessel disease progression.pdf,February,none,25
Alzheimer s   Dementia - 2025 - Jang - Accountable care organizations and Medicare payments for residents with ADRD in.pdf,February,none,26
Alzheimer s   Dementia - 2025 - Jeong - Addressing overfitting bias due to sample overlap in polygenic risk scoring.pdf,February,ROSMAP; ADNI; UK Biobank,27
Alzheimer s   Dementia - 2025 - Kamal - Racial and ethnic differences in white matter hypointensities  The role of vascular.pdf,February,NACC,28
Alzheimer s   Dementia - 2025 - Karakose - Marital status and risk of dementia over 18 years  Surprising findings from the.pdf,February,NACC; UK Biobank,29
Alzheimer s   Dementia - 2025 - Lacovich - Developmental deletion of amyloid precursor protein precludes transcriptional.pdf,February,none,30
Alzheimer s   Dementia - 2025 - Lan - Heterogeneous brain abnormalities in subjective cognitive decline converge on a.pdf,February,none,31
Alzheimer s   Dementia - 2025 - Lee - Chronic stress  social support  and Alzheimer s blood‐based biomarkers in the HABS‐HD.pdf,February,none,32
Alzheimer s   Dementia - 2025 - Liang - Spatial‐temporal interactions between white matter hyperintensities and multiple.pdf,February,ADNI,33
Alzheimer s   Dementia - 2025 - Liao - Interconnections of insulin IGF‐1 signaling and autophagy abnormalities in Alzheimer.pdf,February,none,34
Alzheimer s   Dementia - 2025 - Lietzke - Synergistic reduction in interfacial flexibility of TREM2R47H and ApoE4 may.pdf,February,none,35
Alzheimer s   Dementia - 2025 - Lorenz - The effect of Alzheimer s disease genetic factors on limbic white matter.pdf,February,BLSA; ROSMAP; BIOCARD; NACC; WRAP; ADNI; UK Biobank; ADSP,36
Alzheimer s   Dementia - 2025 - Maphis - Targeting of phosphorylated tau at threonine 181 by a Q  virus‐like particle.pdf,February,MAPT,37
Alzheimer s   Dementia - 2025 - Maust - Clinician type and care setting for treatment of Medicare beneficiaries with.pdf,February,none,38
Alzheimer s   Dementia - 2025 - Nakanishi - Associations among age at menopause  depressive symptoms  and cognitive.pdf,February,UK Biobank; EPAD,39
Alzheimer s   Dementia - 2025 - Rehman - Plasma protein risk scores for mild cognitive impairment and Alzheimer s disease.pdf,February,ADNI; PREVENT-AD,40
Alzheimer s   Dementia - 2025 - Reho - Preclinical Alzheimer s disease shows alterations in circulating neuronal‐derived.pdf,February,WHICAP; ADNI; MAPT,41
Alzheimer s   Dementia - 2025 - Ren - Healthy lifestyle factors outweigh influence of APOE genetic risk on extending.pdf,February,UK Biobank,42
Alzheimer s   Dementia - 2025 - Rogalski - Efficacy of Communication Bridge‐2 for primary progressive aphasia  A randomized.pdf,February,none,43
Alzheimer s   Dementia - 2025 - Safai - Association of neighborhood disadvantage with cognitive function and cortical.pdf,February,NACC; WRAP; ADNI,44
Alzheimer s   Dementia - 2025 - Seaman - Trends in the use of advance care planning and cognitive assessment and care.pdf,February,none,45
Alzheimer s   Dementia - 2025 - Shi - Presynaptic loss and axonal degeneration synergistically correlate with longitudinal.pdf,February,ADNI,46
Alzheimer s   Dementia - 2025 - Srikajornlarp - Exploring public perceptions of dementia on Twitter  X   a cross‐cultural.pdf,February,none,47
Alzheimer s   Dementia - 2025 - Torok - Directionality bias underpins divergent spatiotemporal progression of.pdf,February,NACC,48
Alzheimer s   Dementia - 2025 - Tripathi - Connectome‐based predictive modeling of brain pathology and cognition in.pdf,February,ALFA,49
Alzheimer s   Dementia - 2025 - Wagemann - Exploratory analysis of the proteomic profile in plasma in adults with Down.pdf,February,ADNI; AddNeuroMed,50
Alzheimer s   Dementia - 2025 - Wang - Modified titration of donanemab reduces ARIA risk and maintains amyloid reduction.pdf,February,none,51
