pdf,month,keywords_found,repo_link,matched_row
Alzheimer s   Dementia - 2025 - Abi‐Ghanem - Interactions between menopause and high‐fat diet on cognition and pathology in.pdf,January,none,none,2
Alzheimer s   Dementia - 2025 - Ackley - Methods to crosswalk between cognitive test scores using data from the Alzheimer s.pdf,January,script,none,3
Alzheimer s   Dementia - 2025 - Acosta‐Martínez - Sex‐ and region‐dependent neuroinflammation in Alzheimer s disease.pdf,January,repository; script,none,4
Alzheimer s   Dementia - 2025 - Ahangaran - Obfuscation via pitch‐shifting for balancing privacy and diagnostic utility in.pdf,January,repository; script,none,5
Alzheimer s   Dementia - 2025 - Akinci - Physical activity changes during midlife link to brain integrity and amyloid.pdf,January,pipeline,none,6
Alzheimer s   Dementia - 2025 - Anastasi - A head‐to‐head comparison of plasma biomarkers to detect Alzheimer s disease in.pdf,January,script,none,7
Alzheimer s   Dementia - 2025 - Bagnasco - Earnings losses in young‐onset dementia  Population‐based study with admin data.pdf,January,script,none,8
Alzheimer s   Dementia - 2025 - Bai - HDAC11 displays neuropathological alterations and offers as a novel drug target for.pdf,January,script,none,9
Alzheimer s   Dementia - 2025 - Baker - Effects of exercise on cognition and Alzheimer s biomarkers in a randomized.pdf,January,repository; script,none,10
Alzheimer s   Dementia - 2025 - Berge - Burden and care time for dementia caregivers in the LIVE Home Path trial.pdf,January,script,none,11
Alzheimer s   Dementia - 2025 - Beyer - White matter hyperintensity spatial patterns  Risk factors and clinical correlates.pdf,January,github; gitlab; pipeline; reproducibility; reproducible; script,https://github.com/gsanroma/bullseye_pipeline,12
Alzheimer s   Dementia - 2025 - Boa Sorte Silva - Physical activity may protect myelin via modulation of high‐density.pdf,January,pipeline; script,none,13
Alzheimer s   Dementia - 2025 - Burgdorf - A look at caregivers for community‐living persons with dementia  Implications.pdf,January,script,none,14
Alzheimer s   Dementia - 2025 - Carbonell - Tau‐related reduction of glucose metabolism in mild cognitive impairment occurs.pdf,January,pipeline; script,none,15
Alzheimer s   Dementia - 2025 - Chen - Antisense oligonucleotides directed against App and Rab5 normalized endosomal Rab.pdf,January,script,none,16
Alzheimer s   Dementia - 2025 - Choi - Sociodemographic modifiers of effects of statin initiation on dementia incidence  An.pdf,January,script,none,17
Alzheimer s   Dementia - 2025 - Chu - Developing and validating a prediction tool for cerebral amyloid angiopathy.pdf,January,repository,none,18
Alzheimer s   Dementia - 2025 - Chu - Predicting severity of cerebral amyloid angiopathy neuropathology  A modeling.pdf,January,reproducible,none,19
Alzheimer s   Dementia - 2025 - Clarke - The Nun Study  Insights from 30 years of aging and dementia research.pdf,January,open-source; reproducibility; script; workflow,none,20
Alzheimer s   Dementia - 2025 - Claus - Public attitudes toward dementia risk prediction  A mixed‐methods study.pdf,January,pipeline; script,none,21
Alzheimer s   Dementia - 2025 - Cogswell - Plasma Alzheimer s disease biomarker relationships with incident abnormal.pdf,January,pipeline; script; workflow,none,22
Alzheimer s   Dementia - 2025 - D'Aoust - Polygenic score integrating neurodegenerative and vascular risk informs dementia.pdf,January,script,none,23
Alzheimer s   Dementia - 2025 - Damsgaard - Patterns of sick leave and unemployment prior to a diagnosis of young onset.pdf,January,script,none,24
Alzheimer s   Dementia - 2025 - Dittrich - Evaluation of two plasma‐based proteotyping assays against APOE  4 genotyping in.pdf,January,script; workflow,none,25
Alzheimer s   Dementia - 2025 - Elzinga - Metabolic stress and age drive inflammation and cognitive decline in mice and.pdf,January,github; repository; script,https://github.com/,26
Alzheimer s   Dementia - 2025 - Feng - Human herpesvirus‐associated transposable element activation in human aging brains.pdf,January,github; pipeline; repository; reproducibility; script,https://github.com/ChengF-Lab/alzTE-HHV,27
Alzheimer s   Dementia - 2025 - Ferguson - Independent associations of high‐density lipoprotein cholesterol and.pdf,January,none,none,28
Alzheimer s   Dementia - 2025 - Fioriti - Genetic and pharmacologic enhancement of SUMO2 conjugation prevents and reverses.pdf,January,none,none,29
Alzheimer s   Dementia - 2025 - Fonseca - Cognitive vulnerability to glucose fluctuations  A digital phenotype of.pdf,January,open source; script,none,30
Alzheimer s   Dementia - 2025 - Ghirelli - Relationships between hypometabolism and both  ‐amyloid and tau PET in.pdf,January,none,none,31
Alzheimer s   Dementia - 2025 - Grill - Disclosure of elevated amyloid status is not associated with long‐term suicidality.pdf,January,script,none,32
Alzheimer s   Dementia - 2025 - Guo - Age at menopause and cognitive function and decline among middle‐aged and older women.pdf,January,script,none,33
Alzheimer s   Dementia - 2025 - Gutiérrez‐Jiménez - Carbonic anhydrase inhibitors prevent presymptomatic capillary flow.pdf,January,script; workflow; zenodo,https://zenodo.org/,34
Alzheimer s   Dementia - 2025 - Heikal - Complexity of developing a nationwide model for a dementia registry in Egypt  A.pdf,January,script,none,35
Alzheimer s   Dementia - 2025 - Hu - White matter injury  plasma Alzheimer s disease  and neurodegenerative biomarkers on.pdf,January,pipeline; script,none,36
Alzheimer s   Dementia - 2025 - Huang - The interaction between dysfunction of vasculature and tauopathy in Alzheimer s.pdf,January,script,none,37
Alzheimer s   Dementia - 2025 - Iacob - Caregiving at end‐of‐life  How do family structure and dementia status impact.pdf,January,script,none,38
Alzheimer s   Dementia - 2025 - Januszewicz - Primary care preparedness to care for patients with ADRD  A national survey.pdf,January,script; workflow,none,39
Alzheimer s   Dementia - 2025 - Johnson - Prevalence and factors associated with dementia in Lesotho  A cross‐sectional .pdf,January,script,none,40
Alzheimer s   Dementia - 2025 - Karlsson - Machine learning prediction of tau‐PET in Alzheimer s disease using plasma  MRI .pdf,January,code availability; github; pipeline; repository; script; workflow,https://github.com/DeMONLab-BioFINDER/karlsson-predict-taupet,41
