month,row,doi,pdf,country,status
January,2,10.1002/alz.70026,Alzheimer s   Dementia - 2025 - Abi‐Ghanem - Interactions between menopause and high‐fat diet on cognition and pathology in.pdf,United States,ok
January,3,10.1002/alz.14597,Alzheimer s   Dementia - 2025 - Ackley - Methods to crosswalk between cognitive test scores using data from the Alzheimer s.pdf,United States,ok
January,4,10.1002/alz.14603,Alzheimer s   Dementia - 2025 - Acosta‐Martínez - Sex‐ and region‐dependent neuroinflammation in Alzheimer s disease.pdf,United States,ok
January,5,10.1002/alz.70032,Alzheimer s   Dementia - 2025 - Ahangaran - Obfuscation via pitch‐shifting for balancing privacy and diagnostic utility in.pdf,United States,ok
January,6,10.1002/alz.70007,Alzheimer s   Dementia - 2025 - Akinci - Physical activity changes during midlife link to brain integrity and amyloid.pdf,Spain,ok
January,7,10.1002/alz.14609,Alzheimer s   Dementia - 2025 - Anastasi - A head‐to‐head comparison of plasma biomarkers to detect Alzheimer s disease in.pdf,United States,ok
January,8,10.1002/alz.14588,Alzheimer s   Dementia - 2025 - Bagnasco - Earnings losses in young‐onset dementia  Population‐based study with admin data.pdf,Netherlands,ok
January,9,10.1002/alz.14616,Alzheimer s   Dementia - 2025 - Bai - HDAC11 displays neuropathological alterations and offers as a novel drug target for.pdf,United States,ok
January,10,10.1002/alz.14586,Alzheimer s   Dementia - 2025 - Baker - Effects of exercise on cognition and Alzheimer s biomarkers in a randomized.pdf,United States,ok
January,11,10.1002/alz.14622,Alzheimer s   Dementia - 2025 - Berge - Burden and care time for dementia caregivers in the LIVE Home Path trial.pdf,United States,ok
January,12,10.1002/alz.70053,Alzheimer s   Dementia - 2025 - Beyer - White matter hyperintensity spatial patterns  Risk factors and clinical correlates.pdf,United Kingdom,ok
January,13,10.1002/alz.14599,Alzheimer s   Dementia - 2025 - Boa Sorte Silva - Physical activity may protect myelin via modulation of high‐density.pdf,United States,ok
January,14,10.1002/alz.70013,Alzheimer s   Dementia - 2025 - Burgdorf - A look at caregivers for community‐living persons with dementia  Implications.pdf,United States,ok
January,15,10.1002/alz.14625,Alzheimer s   Dementia - 2025 - Carbonell - Tau‐related reduction of glucose metabolism in mild cognitive impairment occurs.pdf,"Bolivia, Plurinational State of",ok
January,16,10.1002/alz.70022,Alzheimer s   Dementia - 2025 - Chen - Antisense oligonucleotides directed against App and Rab5 normalized endosomal Rab.pdf,United States,ok
January,17,10.1002/alz.14627,Alzheimer s   Dementia - 2025 - Choi - Sociodemographic modifiers of effects of statin initiation on dementia incidence  An.pdf,United States,ok
January,18,10.1002/alz.14583,Alzheimer s   Dementia - 2025 - Chu - Developing and validating a prediction tool for cerebral amyloid angiopathy.pdf,Australia,ok
January,19,10.1002/alz.70057,Alzheimer s   Dementia - 2025 - Chu - Predicting severity of cerebral amyloid angiopathy neuropathology  A modeling.pdf,Australia,ok
January,20,10.1002/alz.14626,Alzheimer s   Dementia - 2025 - Clarke - The Nun Study  Insights from 30 years of aging and dementia research.pdf,United States,ok
January,21,10.1002/alz.14615,Alzheimer s   Dementia - 2025 - Claus - Public attitudes toward dementia risk prediction  A mixed‐methods study.pdf,Netherlands,ok
January,22,10.1002/alz.14629,Alzheimer s   Dementia - 2025 - Cogswell - Plasma Alzheimer s disease biomarker relationships with incident abnormal.pdf,United States,ok
January,23,10.1002/alz.70014,Alzheimer s   Dementia - 2025 - D'Aoust - Polygenic score integrating neurodegenerative and vascular risk informs dementia.pdf,United States,ok
January,24,10.1002/alz.14607,Alzheimer s   Dementia - 2025 - Damsgaard - Patterns of sick leave and unemployment prior to a diagnosis of young onset.pdf,Netherlands,ok
