pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - Abi‐Ghanem - Interactions between menopause and high‐fat diet on cognition and pathology in.pdf,January,Yes,sex-aware main focus,menopause,estrogen; menopause; sex differences; sex-specific,4
Alzheimer s   Dementia - 2025 - Ackley - Methods to crosswalk between cognitive test scores using data from the Alzheimer s.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Acosta‐Martínez - Sex‐ and region‐dependent neuroinflammation in Alzheimer s disease.pdf,January,Yes,sex-aware main focus,sex,sex; sex differences; sex interaction; sex-specific; sex-stratified; sex-stratified analysis; stratified by sex,7
Alzheimer s   Dementia - 2025 - Ahangaran - Obfuscation via pitch‐shifting for balancing privacy and diagnostic utility in.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Akinci - Physical activity changes during midlife link to brain integrity and amyloid.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Anastasi - A head‐to‐head comparison of plasma biomarkers to detect Alzheimer s disease in.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Bagnasco - Earnings losses in young‐onset dementia  Population‐based study with admin data.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bai - HDAC11 displays neuropathological alterations and offers as a novel drug target for.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Baker - Effects of exercise on cognition and Alzheimer s biomarkers in a randomized.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Berge - Burden and care time for dementia caregivers in the LIVE Home Path trial.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Beyer - White matter hyperintensity spatial patterns  Risk factors and clinical correlates.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Boa Sorte Silva - Physical activity may protect myelin via modulation of high‐density.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Burgdorf - A look at caregivers for community‐living persons with dementia  Implications.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Carbonell - Tau‐related reduction of glucose metabolism in mild cognitive impairment occurs.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Antisense oligonucleotides directed against App and Rab5 normalized endosomal Rab.pdf,January,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Choi - Sociodemographic modifiers of effects of statin initiation on dementia incidence  An.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Developing and validating a prediction tool for cerebral amyloid angiopathy.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Predicting severity of cerebral amyloid angiopathy neuropathology  A modeling.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Clarke - The Nun Study  Insights from 30 years of aging and dementia research.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Claus - Public attitudes toward dementia risk prediction  A mixed‐methods study.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cogswell - Plasma Alzheimer s disease biomarker relationships with incident abnormal.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - D'Aoust - Polygenic score integrating neurodegenerative and vascular risk informs dementia.pdf,January,Yes,sex-aware consideration,none,sex differences; sex-stratified,2
Alzheimer s   Dementia - 2025 - Damsgaard - Patterns of sick leave and unemployment prior to a diagnosis of young onset.pdf,January,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Dittrich - Evaluation of two plasma‐based proteotyping assays against APOE  4 genotyping in.pdf,January,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Elzinga - Metabolic stress and age drive inflammation and cognitive decline in mice and.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Feng - Human herpesvirus‐associated transposable element activation in human aging brains.pdf,January,Yes,sex-aware consideration,none,estrogen; gender-specific; sex differences,3
Alzheimer s   Dementia - 2025 - Ferguson - Independent associations of high‐density lipoprotein cholesterol and.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fioriti - Genetic and pharmacologic enhancement of SUMO2 conjugation prevents and reverses.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fonseca - Cognitive vulnerability to glucose fluctuations  A digital phenotype of.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ghirelli - Relationships between hypometabolism and both  ‐amyloid and tau PET in.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Grill - Disclosure of elevated amyloid status is not associated with long‐term suicidality.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guo - Age at menopause and cognitive function and decline among middle‐aged and older women.pdf,January,Yes,sex-aware main focus,menopause,estrogen; female-specific; hormonal factors; male-specific; menopause; sex-specific,6
Alzheimer s   Dementia - 2025 - Gutiérrez‐Jiménez - Carbonic anhydrase inhibitors prevent presymptomatic capillary flow.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Heikal - Complexity of developing a nationwide model for a dementia registry in Egypt  A.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hu - White matter injury  plasma Alzheimer s disease  and neurodegenerative biomarkers on.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Huang - The interaction between dysfunction of vasculature and tauopathy in Alzheimer s.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Iacob - Caregiving at end‐of‐life  How do family structure and dementia status impact.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Januszewicz - Primary care preparedness to care for patients with ADRD  A national survey.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Johnson - Prevalence and factors associated with dementia in Lesotho  A cross‐sectional .pdf,January,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Karlsson - Machine learning prediction of tau‐PET in Alzheimer s disease using plasma  MRI .pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Klee - Examining multimorbidity contributors to dementia over time.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Ko - Moderation of midlife cognitive activity on tau‐related cognitive impairment.pdf,January,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Lee - Dementia prevalence and risk factors in people with and without HIV in Malawi  A.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leffa - Impact of the polygenic risk scores for attention‐deficit hyperactivity disorder in.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Association between healthy lifestyle and cognitive decline  all‐cause mortality  and.pdf,January,No,none,none,,0
